           List of relations
 Schema |  Name   | Type  |    Owner    
--------+---------+-------+-------------
 public | reviews | table | cnorman2000
 public | stores  | table | cnorman2000
 public | users   | table | cnorman2000
(3 rows)

 uid |      username      |                              avatar_url                               
-----+--------------------+-----------------------------------------------------------------------
   1 | LemonLover1977     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   2 | FruitWizard        | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   3 | NotBigFruit        | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   4 | TheMandarinMagnate | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   5 | TheLemonGrab       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   6 | PeachyKeen         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   7 | BananaBandit       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   8 | MangoMamba         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
   9 | PineapplePunk      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  10 | BerryBlaster       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  11 | CitrusKnight       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  12 | FiggyFresh         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  13 | KiwiWhiz           | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  14 | PapayaPal          | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  15 | MelonManiac        | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  16 | AvocadoAmbush      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  17 | CherryChaser       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  18 | AppleAnomaly       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  19 | GrapefruitGuru     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  20 | BlueberryBeast     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  21 | FruitNinja2.0      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  22 | DurianDaredevil    | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  23 | TangerineTornado   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  24 | ZestyZebra         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  25 | BerryBuff          | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  26 | CoconutCoyote      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  27 | StrawberryStorm    | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  28 | DragonfruitDream   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  29 | GuavaGoose         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  30 | PlumPirate         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  31 | LimeLurker         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  32 | CranberryCreep     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  33 | PearProphet        | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  34 | JackfruitJuggler   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  35 | ApricotAgent       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  36 | PassionFruitPunk   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  37 | PersimmonPhantom   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  38 | MulberryMystic     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  39 | RaspberryRogue     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  40 | LycheeLegend       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  41 | SatsumaSeeker      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  42 | GooseberryGiant    | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  43 | RambutanRebel      | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  44 | OliveOracle        | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  45 | FruitFreak         | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  46 | CurrantCommander   | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  47 | StarfruitSniper    | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  48 | NectarineNinja     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  49 | Bananarchist       | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
  50 | FruitFiestaFan     | https://www.healthytherapies.com/wp-content/uploads/2016/06/Lime3.jpg
(50 rows)

 review_id |   fruit    |                                                                    body                                                                    | rating |  store_id  | uid | published  
-----------+------------+--------------------------------------------------------------------------------------------------------------------------------------------+--------+------------+-----+------------
         1 | Lime       | These limes were unappealing                                                                                                               |      2 |   77175186 |   2 | 2025-08-18
         2 | Lime       | Not as good as lemons but still pretty zesty                                                                                               |      3 | 1106919062 |   1 | 2025-12-19
         3 | Lemon      | Now this is more like it!                                                                                                                  |      5 |   85712437 |   1 | 2025-10-31
         4 | Lime       | Artisanal! Don't make me laugh, BigFruit has better limes at a much more affordable price. Buy one get one free till the end of the month! |      1 |  543525913 |   3 | 2025-11-16
         5 | Lemon      | Everything a man could want in a lemon, I can't get enough!                                                                                |      4 |  437349600 |   4 | 2025-07-14
         6 | Lime       | My go to supplier for all things citrus!                                                                                                   |      5 |  881216101 |   3 | 2025-01-18
         7 | Lemon      | Unacceptable!!!                                                                                                                            |      1 |   87266637 |   5 | 2025-03-13
         8 | Lime       | Not pear-fect, but still grape!                                                                                                            |      3 |  448331898 |   2 | 2025-10-10
         9 | Lemon      | I'm bananas for this fruit!                                                                                                                |      4 | 4436285720 |   4 | 2025-03-28
        10 | Lemon      | Zesty, bright, and perfect — amazing Lemon.                                                                                                |      5 |  437349594 |  49 | 2025-06-12
        11 | Lime       | Lime? More like disappointment wrapped in skin.                                                                                            |      1 |  759407543 |  16 | 2025-05-27
        12 | Lime       | So fresh and full of flavor — best Lime I've had.                                                                                          |      4 |   85712128 |  14 | 2025-05-26
        13 | Lemon      | Low-quality Lemon. Avoid if you can.                                                                                                       |      1 |  434774448 |   7 | 2025-11-28
        14 | Lime       | 10/10 Lime experience!                                                                                                                     |      4 |  759407541 |  38 | 2025-08-28
        15 | Lime       | Would buy this Lime again in a heartbeat.                                                                                                  |      4 |  385439321 |  36 | 2025-11-07
        16 | Lime       | Zesty, bright, and perfect — amazing Lime.                                                                                                 |      4 |  828037594 |  50 | 2025-01-10
        17 | Mandarins  | Incredible quality. This Mandarins made my day!                                                                                            |      5 | 5936666622 |  30 | 2025-08-19
        18 | Mandarins  | Low-quality Mandarins. Avoid if you can.                                                                                                   |      2 |   85707380 |  17 | 2025-12-21
        19 | Lemon      | Would not recommend this Lemon to anyone.                                                                                                  |      2 |  150941388 |  43 | 2025-02-09
        20 | Mandarins  | Tart but delightful — love this Mandarins.                                                                                                 |      4 |  945963523 |  33 | 2025-02-12
        21 | Mandarins  | Sad little Mandarins. Expected better.                                                                                                     |      1 |  718460690 |  50 | 2025-05-03
        22 | Mandarins  | Mandarins? More like disappointment wrapped in skin.                                                                                       |      2 | 1015090447 |  11 | 2025-11-30
        23 | Mandarins  | Tart but delightful — love this Mandarins.                                                                                                 |      4 |  129019415 |  37 | 2025-07-10
        24 | Mandarins  | Absolutely loved this Mandarins!                                                                                                           |      4 |  448331884 |  34 | 2025-05-13
        25 | Grapefruit | So fresh and full of flavor — best Grapefruit I've had.                                                                                    |      5 |   75905298 |  27 | 2025-05-01
        26 | Lime       | Low-quality Lime. Avoid if you can.                                                                                                        |      2 |   77175985 |  35 | 2025-07-15
        27 | Mandarins  | Mandarins was juicy and just right.                                                                                                        |      4 |  448331932 |  20 | 2025-10-01
        28 | Lemon      | Sad little Lemon. Expected better.                                                                                                         |      1 |   83629201 |  21 | 2025-09-05
        29 | Grapefruit | Seriously sweet and satisfying Grapefruit!                                                                                                 |      4 | 4411803753 |   8 | 2025-06-02
        30 | Lemon      | Overripe and bland Lemon.                                                                                                                  |      2 |   85712060 |  13 | 2025-03-05
        31 | Lemon      | Lemon like these are why I shop here.                                                                                                      |      4 |  451361274 |  47 | 2025-05-09
        32 | Lime       | Absolutely loved this Lime!                                                                                                                |      4 |  385285194 |  39 | 2025-04-25
        33 | Lemon      | Would not recommend this Lemon to anyone.                                                                                                  |      2 |  444571958 |  28 | 2025-01-20
        34 | Grapefruit | So fresh and full of flavor — best Grapefruit I've had.                                                                                    |      5 |   87266726 |  20 | 2025-08-11
        35 | Lime       | Would buy this Lime again in a heartbeat.                                                                                                  |      5 | 2058583957 |  15 | 2025-09-21
        36 | Lemon      | Overripe and bland Lemon.                                                                                                                  |      2 |  544495996 |  31 | 2025-05-13
        37 | Lemon      | Absolutely loved this Lemon!                                                                                                               |      5 |   83659297 |  32 | 2025-01-14
        38 | Lime       | This Lime left a sour taste — and not in a good way.                                                                                       |      2 |  449244296 |  44 | 2025-12-31
        39 | Grapefruit | Absolutely loved this Grapefruit!                                                                                                          |      4 |  150941657 |  10 | 2025-08-17
        40 | Mandarins  | This Mandarins left a sour taste — and not in a good way.                                                                                  |      2 |   85979333 |  42 | 2025-05-30
        41 | Mandarins  | This Mandarins left a sour taste — and not in a good way.                                                                                  |      2 |  448331890 |  36 | 2025-10-12
        42 | Lime       | Sad little Lime. Expected better.                                                                                                          |      2 |  718460689 |  24 | 2025-05-11
        43 | Lemon      | Lemon? More like disappointment wrapped in skin.                                                                                           |      2 |  448331902 |  25 | 2025-09-30
        44 | Grapefruit | This Grapefruit left a sour taste — and not in a good way.                                                                                 |      1 |   85763241 |  46 | 2025-10-12
        45 | Lime       | Lime? More like disappointment wrapped in skin.                                                                                            |      1 |  444571947 |  46 | 2025-12-04
        46 | Lime       | Sad little Lime. Expected better.                                                                                                          |      1 |  448331927 |  12 | 2025-05-18
